,Baseline,Regulatory
Threshold,0.35,0.35
Accuracy,0.4932,0.5172
Balanced Accuracy,0.6159674004013357,0.6201793892632842
Precision,0.25798319327731095,0.2636849132176235
Recall (Sensitivity),0.8203072812291249,0.7915831663326653
Specificity,0.41162751957354654,0.44877561219390305
F1 Score,0.3925203771775611,0.39559339008512767
ROC-AUC,0.6852069400614766,0.6833721304567044
PR-AUC,0.3471384117324509,0.3444264012523519
Brier Score (cal),0.20883024138412534,0.2107108231150327
ECE (cal),0.22629850952525934,0.24443598444461823
TP,1228.0,1185.0
FP,3532.0,3309.0
FN,269.0,312.0
TN,2471.0,2694.0
False Safe Rate (flagged),0.11255411255411256,0.10822510822510822
Flagged Recall,0.9565217391304348,0.9855072463768116
Compliance Breach Rate,0.043478260869565216,0.014492753623188406
