label,violation_score,attack_mode,uses_calibrated_probabilities,base_clean_p_risky,base_adv_p_risky,base_delta_p,reg_clean_p_risky,reg_adv_p_risky,reg_delta_p,base_clean_pred,base_adv_pred,base_flipped_risky_to_safe,reg_clean_pred,reg_adv_pred,reg_flipped_risky_to_safe
0,0.0,replace,False,0.13623652,0.499511,0.36327448,0.13854651,0.6281594,0.48961288,0,1,0,0,1,0
0,0.0,replace,False,0.1287061,0.41748857,0.28878248,0.13757017,0.5856077,0.44803753,0,1,0,0,1,0
0,0.0,replace,False,0.5368853,0.40701574,-0.12986958,0.52274835,0.55105954,0.028311193,1,1,0,1,1,0
1,0.0,replace,False,0.47914422,0.47599486,-0.0031493604,0.4828833,0.6329869,0.1501036,1,1,0,1,1,0
1,0.0,replace,False,0.5401862,0.47174397,-0.068442255,0.5385966,0.6383216,0.09972501,1,1,0,1,1,0
0,0.0,replace,False,0.5130341,0.4890005,-0.024033606,0.5830031,0.64916545,0.06616235,1,1,0,1,1,0
0,0.0,replace,False,0.33129188,0.48216555,0.15087366,0.31378293,0.6505828,0.33679986,0,1,0,0,1,0
1,0.0,replace,False,0.4004143,0.4542385,0.053824216,0.3725952,0.61903083,0.24643564,1,1,0,1,1,0
0,0.0,replace,False,0.30994192,0.46066812,0.1507262,0.33934113,0.6240972,0.2847561,0,1,0,0,1,0
0,0.0,replace,False,0.32868227,0.48072278,0.15204051,0.34035382,0.5861246,0.24577078,0,1,0,0,1,0
0,0.0,replace,False,0.31140807,0.4361006,0.12469253,0.3191974,0.6339385,0.3147411,0,1,0,0,1,0
0,0.0,replace,False,0.32222867,0.48375452,0.16152585,0.2982453,0.5914653,0.29321998,0,1,0,0,1,0
0,0.0,replace,False,0.48628524,0.5017633,0.015478045,0.4955738,0.5987857,0.10321191,1,1,0,1,1,0
0,0.0,replace,False,0.13484322,0.47600973,0.3411665,0.15157026,0.62315017,0.4715799,0,1,0,0,1,0
1,0.0,replace,False,0.63772714,0.44498065,-0.19274649,0.60744804,0.55628335,-0.051164687,1,1,0,1,1,0
1,0.0,replace,False,0.5273223,0.46830818,-0.05901411,0.5183976,0.62451863,0.106121,1,1,0,1,1,0
0,0.0,replace,False,0.12957282,0.43563822,0.30606538,0.14665058,0.60915536,0.46250477,0,1,0,0,1,0
1,0.0,replace,False,0.77966934,0.5851168,-0.19455254,0.7284061,0.6776256,-0.050780475,1,1,0,1,1,0
0,0.0,replace,False,0.302545,0.41229132,0.10974631,0.32736513,0.5921065,0.2647414,0,1,0,0,1,0
0,0.0,replace,False,0.29237387,0.35944533,0.06707147,0.3340268,0.5338385,0.1998117,0,1,0,0,1,0
0,0.0,replace,False,0.34786993,0.4431643,0.09529436,0.3604437,0.607503,0.24705929,0,1,0,1,1,0
1,0.0,replace,False,0.6346785,0.45050982,-0.18416867,0.61106336,0.6032641,-0.007799268,1,1,0,1,1,0
0,0.0,replace,False,0.33356237,0.44848895,0.11492658,0.33373615,0.5993036,0.26556745,0,1,0,0,1,0
0,0.0,replace,False,0.57550144,0.46904588,-0.106455564,0.5466913,0.6138203,0.067129016,1,1,0,1,1,0
0,0.0,replace,False,0.33987013,0.50553626,0.16566613,0.33442563,0.62782407,0.29339844,0,1,0,0,1,0
0,0.0,replace,False,0.34566984,0.50865203,0.1629822,0.30801073,0.6285333,0.32052258,0,1,0,0,1,0
0,0.0,replace,False,0.36649966,0.46036065,0.093860984,0.32811135,0.62823665,0.3001253,1,1,0,0,1,0
0,0.0,replace,False,0.6053572,0.5031813,-0.10217595,0.58935577,0.60261786,0.013262093,1,1,0,1,1,0
0,0.0,replace,False,0.5046695,0.41688904,-0.087780446,0.50706095,0.53518987,0.028128922,1,1,0,1,1,0
0,0.0,replace,False,0.76346123,0.5786828,-0.18477845,0.74047816,0.67636055,-0.06411761,1,1,0,1,1,0
0,0.0,replace,False,0.4893211,0.5856529,0.096331775,0.48230815,0.6772329,0.19492477,1,1,0,1,1,0
0,0.0,replace,False,0.14808209,0.41939625,0.27131414,0.15417302,0.5546212,0.4004482,0,1,0,0,1,0
0,0.0,replace,False,0.3495226,0.4210943,0.07157171,0.35178882,0.5392591,0.18747026,0,1,0,1,1,0
0,0.1304347826086956,replace,False,0.53937924,0.5102074,-0.029171824,0.5278612,0.67097294,0.14311177,1,1,0,1,1,0
0,0.0,replace,False,0.56684756,0.5768822,0.010034621,0.55306923,0.67636627,0.123297036,1,1,0,1,1,0
0,0.0,replace,False,0.533441,0.5822062,0.048765182,0.4958411,0.6738146,0.17797351,1,1,0,1,1,0
0,0.0,replace,False,0.34420693,0.45662782,0.11242089,0.35575256,0.61315006,0.2573975,0,1,0,1,1,0
1,0.0,replace,False,0.6557618,0.47101,-0.18475178,0.6683038,0.64498,-0.023323774,1,1,0,1,1,0
0,0.0,replace,False,0.72193813,0.5178361,-0.20410204,0.69766074,0.6362875,-0.061373234,1,1,0,1,1,0
1,0.0,replace,False,0.63074195,0.47191903,-0.15882292,0.60523397,0.6228185,0.017584562,1,1,0,1,1,0
0,0.0,replace,False,0.13670766,0.4984345,0.36172685,0.13776343,0.59507465,0.4573112,0,1,0,0,1,0
0,0.0,replace,False,0.13068774,0.49417526,0.3634875,0.15022762,0.6220429,0.4718153,0,1,0,0,1,0
0,0.0,replace,False,0.65984654,0.42117321,-0.23867333,0.6317885,0.5298773,-0.10191119,1,1,0,1,1,0
1,0.0,replace,False,0.6068172,0.40504742,-0.20176977,0.57195306,0.5517201,-0.020232975,1,1,0,1,1,0
0,0.0,replace,False,0.3280218,0.49711013,0.16908833,0.33687252,0.6225568,0.2856843,0,1,0,0,1,0
0,0.0,replace,False,0.29833388,0.44945538,0.1511215,0.29722378,0.60039616,0.30317238,0,1,0,0,1,0
0,0.0,replace,False,0.7017915,0.44470286,-0.25708866,0.71011215,0.5451347,-0.16497743,1,1,0,1,1,0
1,0.0,replace,False,0.5082119,0.4497559,-0.058456004,0.5138589,0.6153744,0.10151547,1,1,0,1,1,0
0,0.0,replace,False,0.34090912,0.5660438,0.22513467,0.30358866,0.66853684,0.36494818,0,1,0,0,1,0
0,0.0,replace,False,0.37417865,0.43735725,0.0631786,0.34507194,0.54721195,0.20214,1,1,0,0,1,0
0,0.0,replace,False,0.7459705,0.5053053,-0.2406652,0.7381748,0.6020556,-0.13611919,1,1,0,1,1,0
0,0.0,replace,False,0.34447432,0.4878064,0.1433321,0.34658274,0.6343424,0.28775963,0,1,0,0,1,0
0,0.0,replace,False,0.12625144,0.45875767,0.33250624,0.14409885,0.6120969,0.46799806,0,1,0,0,1,0
1,0.0,replace,False,0.5541284,0.5014117,-0.052716732,0.5271146,0.6523344,0.12521976,1,1,0,1,1,0
0,0.0,replace,False,0.32910776,0.45538753,0.12627977,0.37046063,0.6108755,0.24041486,0,1,0,1,1,0
1,0.0,replace,False,0.3521198,0.4519583,0.099838495,0.36571938,0.5643523,0.1986329,1,1,0,1,1,0
1,0.0,replace,False,0.64511377,0.54712224,-0.097991526,0.5941245,0.65602607,0.06190157,1,1,0,1,1,0
0,0.0,replace,False,0.45183775,0.42379522,-0.028042525,0.4890306,0.5679164,0.07888579,1,1,0,1,1,0
