Scenario,Model,Recall,Precision,F1,Balanced Accuracy,Brier Score,False Safe Rate (risky),False Safe Rate (flagged+risky),Mean P(risky) flagged,N_flagged,N_total
Baseline (no shift),Baseline,0.8203072812291249,0.25798319327731095,0.3925203771775611,0.6159674004013357,0.20875548671500369,0.1796927187708751,0.024,0.6375108,337,7500
Baseline (no shift),Regulatory,0.7915831663326653,0.2636849132176235,0.39559339008512767,0.6201793892632842,0.20769650907780068,0.20841683366733466,0.008,0.63161623,337,7500
"Recession — income ↓30%, DTI ↑40%",Baseline,0.8303273213092852,0.2537252500510308,0.3886804252657911,0.6106492511927069,0.21144861501092624,0.16967267869071476,0.06457925636007827,0.5419206,1815,7500
"Recession — income ↓30%, DTI ↑40%",Regulatory,0.8129592518370073,0.2582219393167834,0.39194847020933976,0.6152918864549022,0.20965353045693028,0.18704074816299265,0.050880626223091974,0.5329866,1815,7500
Credit boom — loan amounts ↑50%,Baseline,0.8289913159652639,0.2540950040950041,0.38896724651308573,0.611064040458061,0.2111654161833514,0.17100868403473615,0.0525,0.5585775,1357,7500
Credit boom — loan amounts ↑50%,Regulatory,0.8176352705410822,0.2567652611705475,0.39080459770114945,0.6137151864949288,0.20965036721545283,0.18236472945891782,0.0375,0.5497716,1357,7500
"Subprime influx — DTI ↑60%, income ↓20%",Baseline,0.8289913159652639,0.2537313432835821,0.3885410144020038,0.6104809986456338,0.21139995091766237,0.17100868403473615,0.07220216606498195,0.52442527,2050,7500
"Subprime influx — DTI ↑60%, income ↓20%",Regulatory,0.8149632598530394,0.25760135135135137,0.3914647842130595,0.6146280567131264,0.2099564589708856,0.1850367401469606,0.061371841155234655,0.5176945,2050,7500
"High-earner pool — income ↑80%, DTI ↓30%",Baseline,0.7975951903807615,0.2674731182795699,0.40060392551585305,0.6264337770994263,0.20357516020142158,0.20240480961923848,0.011494252873563218,0.7137106,171,7500
"High-earner pool — income ↑80%, DTI ↓30%",Regulatory,0.7762191048764195,0.26910606762389994,0.3996560619088564,0.6252409867210683,0.20507982228223806,0.2237808951235805,0.0,0.7117208,171,7500
"Stress test — income ↓40%, DTI ↑80%, loan ↑30%",Baseline,0.8443553774215097,0.2501979414093428,0.3860131317758436,0.6066687765001935,0.21410400850555528,0.15564462257849032,0.09791666666666667,0.49398515,3965,7500
"Stress test — income ↓40%, DTI ↑80%, loan ↑30%",Regulatory,0.8463593854375417,0.25153861425451657,0.3878175696357515,0.6091700308830221,0.21220900934672932,0.15364061456245826,0.078125,0.4883259,3965,7500
