TAU,Model,Recall,Precision,F1,Balanced Accuracy,False Safe Rate (risky),False Safe Rate (flagged+risky),Predicted Positive Rate
0.05,Baseline,1.0,0.1996,0.3327775925308436,0.5,0.0,0.0,1.0
0.05,Regulatory,1.0,0.1996,0.3327775925308436,0.5,0.0,0.0,1.0
0.1,Baseline,1.0,0.19975980784627703,0.33299966633299966,0.5004997501249375,0.0,0.0,0.9992
0.1,Regulatory,1.0,0.1996,0.3327775925308436,0.5,0.0,0.0,1.0
0.15,Baseline,0.9452237808951236,0.22712680577849118,0.3662482205254303,0.571562415185193,0.05477621910487642,0.0,0.8306666666666667
0.15,Regulatory,0.9652638610554443,0.21920509708737865,0.3572753121523056,0.5539296150188099,0.03473613894455578,0.0,0.8789333333333333
0.2,Baseline,0.9378757515030061,0.22818137493905413,0.36705882352941177,0.573385651863447,0.06212424849699399,0.014492753623188406,0.8204
0.2,Regulatory,0.9385437541750167,0.22830679233019174,0.3672722519932035,0.5737196531994524,0.0614562458249833,0.0,0.8205333333333333
0.25,Baseline,0.9372077488309953,0.22827855515782622,0.36713332461075493,0.5735514006523792,0.06279225116900468,0.014492753623188406,0.8194666666666667
0.25,Regulatory,0.9385437541750167,0.22830679233019174,0.3672722519932035,0.5737196531994524,0.0614562458249833,0.0,0.8205333333333333
0.3,Baseline,0.9098196392785571,0.23313933584388907,0.37116773402370895,0.5817630596859219,0.09018036072144289,0.014492753623188406,0.7789333333333334
0.3,Regulatory,0.9372077488309953,0.2295859924725904,0.3688222923238696,0.5764666097145148,0.06279225116900468,0.0,0.8148
0.35,Baseline,0.8203072812291249,0.25798319327731095,0.3925203771775611,0.6159674004013357,0.1796927187708751,0.043478260869565216,0.6346666666666667
0.35,Regulatory,0.7915831663326653,0.2636849132176235,0.39559339008512767,0.6201793892632842,0.20841683366733466,0.014492753623188406,0.5992
0.4,Baseline,0.7394789579158316,0.27828054298642535,0.4043835616438356,0.6306090441753072,0.2605210420841683,0.057971014492753624,0.5304
0.4,Regulatory,0.7261189044756179,0.2775082971661986,0.40155153306243074,0.6273439766422734,0.2738810955243821,0.057971014492753624,0.5222666666666667
0.45,Baseline,0.6987307949231797,0.28385345997286293,0.4037051331532227,0.6295586341765658,0.3012692050768203,0.07246376811594203,0.49133333333333334
0.45,Regulatory,0.7247828991315965,0.27827648114901254,0.40214974054855446,0.6280086409700961,0.27521710086840345,0.057971014492753624,0.5198666666666667
0.5,Baseline,0.5951903807615231,0.311865593279664,0.40927882406982086,0.6338437327762305,0.40480961923847697,0.10144927536231885,0.38093333333333335
0.5,Regulatory,0.6325985303941216,0.29723791588198367,0.40444159726670936,0.6298091769078721,0.36740146960587844,0.07246376811594203,0.4248
0.55,Baseline,0.4362057448229793,0.35624659028914346,0.3921921921921922,0.6198186811737751,0.5637942551770208,0.2028985507246377,0.2444
0.55,Regulatory,0.3974615898463594,0.34876905041031653,0.37152669372463315,0.6061937301222469,0.6025384101536406,0.30434782608695654,0.22746666666666668
0.6,Baseline,0.3700734802939212,0.3676177836761778,0.36884154460719043,0.6056597619693826,0.6299265197060788,0.30434782608695654,0.20093333333333332
0.6,Regulatory,0.33867735470941884,0.37361827560795874,0.3552908199018921,0.5985407429885592,0.6613226452905812,0.30434782608695654,0.18093333333333333
0.65,Baseline,0.29458917835671344,0.38548951048951047,0.3339644074214313,0.588740532873176,0.7054108216432866,0.37681159420289856,0.15253333333333333
0.65,Regulatory,0.23714094856379425,0.40158371040723984,0.29819403611927764,0.5745091715999048,0.7628590514362057,0.4492753623188406,0.11786666666666666
0.7,Baseline,0.19906479625918505,0.42754662840746055,0.2716499544211486,0.5662990148212467,0.800935203740815,0.5217391304347826,0.09293333333333334
0.7,Regulatory,0.16098864395457582,0.42132867132867136,0.23296278395360076,0.5529247734182341,0.8390113560454242,0.6086956521739131,0.07626666666666666
0.75,Baseline,0.11690046760187041,0.4396984924623116,0.18469656992084432,0.5398761874907569,0.8830995323981295,0.6956521739130435,0.053066666666666665
0.75,Regulatory,0.08750835003340013,0.48698884758364314,0.14835787089467722,0.5322599221431369,0.9124916499665998,0.782608695652174,0.035866666666666665
0.8,Baseline,0.005344021376085505,0.5,0.010575016523463317,0.502005677188126,0.9946559786239145,0.9710144927536232,0.0021333333333333334
0.8,Regulatory,0.0013360053440213762,0.6666666666666666,0.0026666666666666666,0.5005847109845211,0.9986639946559787,0.9855072463768116,0.0004
0.85,Baseline,0.0,0.0,0.0,0.5,1.0,1.0,0.0
0.85,Regulatory,0.0,0.0,0.0,0.5,1.0,1.0,0.0
0.9,Baseline,0.0,0.0,0.0,0.5,1.0,1.0,0.0
0.9,Regulatory,0.0,0.0,0.0,0.5,1.0,1.0,0.0
0.95,Baseline,0.0,0.0,0.0,0.5,1.0,1.0,0.0
0.95,Regulatory,0.0,0.0,0.0,0.5,1.0,1.0,0.0
